"","SL_C21h0","SL_GAT21h2","SL_GAT21h4","SL_T21h2"
"Gene295",7.96005866133333,8.977833787,8.26467051066667,8.83567029666667
"Gene296",8.050773478,7.71461599466667,8.28380835633333,7.746644979
"Gene297",7.99155685066667,8.553099158,8.11443660266667,8.492693279
"Gene298",8.10264452866667,7.927295647,7.83040518233333,7.95002022966667
"Gene299",8.001050736,8.14462625866667,8.062983398,8.157093651
"Gene3",3.352138583,3.46433687366667,3.39165185366667,3.37422466533333
"Gene30",4.69988564233333,4.81727959833333,4.713315044,4.73775041466667
"Gene300",8.24245979133333,8.30887755966667,8.18750064966667,8.37454945
"Gene301",8.13194753533333,7.96463101066667,8.20342101166667,8.04162774333333
"Gene302",8.13460292766667,8.00741952466667,7.552810517,8.0534012
"Gene303",8.18594265333333,8.42708826133333,8.32062248233333,8.251939734
"Gene304",8.13563183566667,8.44818327766667,7.99667475566667,8.38272572733333
"Gene305",8.28046324966667,8.32274602466667,8.21638924633333,8.491290923
"Gene306",8.177766325,8.30508164133333,8.17294251033333,8.33714290633333
"Gene307",8.14872864233333,8.28201232166667,8.16011683533333,8.13394263833333
"Gene308",8.23973275833333,8.337594847,8.247422603,8.423910908
"Gene309",8.20569946,8.488987647,8.362617316,8.344115432
"Gene31",4.66705003566667,4.70980878066667,4.69486862766667,4.72303738366667
"Gene310",8.14792543433333,8.508432315,7.96300530266667,8.64666866833333
"Gene311",8.18276635433333,8.83058248466667,8.27832889166667,8.694793048
"Gene312",8.248707994,8.332178613,8.18457356133333,8.32170241833333
"Gene313",8.45110199433333,8.50407654033333,7.97008293366667,8.79050246233333
"Gene314",8.11260343733333,7.45148101033333,7.47111490533333,7.71916317133333
"Gene315",8.148277663,7.807869326,8.05813365466667,7.90626725266667
"Gene316",8.32550147433333,8.60587615866667,8.36983679166667,8.43556104133333
"Gene317",8.24664291833333,8.28354764966667,8.19389757833333,8.209831984
"Gene318",8.18535822066667,8.40236904666667,8.23885476533333,8.27592420666667
"Gene319",8.225134933,7.81082190233333,8.06780732766667,7.88819922666667
"Gene32",4.76592434066667,4.82052574833333,4.67727586033333,4.71330684733333
"Gene320",8.28113915733333,8.596487023,8.48973407333333,8.417588481
"Gene321",8.34337020133333,8.089409016,8.24136576233333,8.106506803
