rootsample,length,Genotype,Treatment
2745,3.76,ga1-13,GA
2746,5.25,ga1-13,GA
2747,2.72,ga1-13,GA
2748,4.48,ga1-13,GA
2749,3.79,ga1-13,GA
2750,4.09,ga1-13,GA
2751,4.97,ga1-13,GA
2752,2.97,ga1-13,GA
2753,4.04,ga1-13,GA
2754,4.39,ga1-13,GA
2755,3.85,ga1-13,GA
2756,3.99,ga1-13,GA
2757,5.25,ga1-13,GA
2758,4.15,ga1-13,GA
2759,4.11,ga1-13,GA
2760,2.59,ga1-13,GA
2761,5.26,ga1-13,GA
2762,3.84,ga1-13,GA
2763,2.27,ga1-13,GA
2764,5.84,ga1-13,GA
2765,3.75,ga1-13,GA
2766,4.57,ga1-13,GA
2767,2.07,ga1-13,GA
2768,4.39,ga1-13,GA
2769,4,ga1-13,GA
2770,4.48,ga1-13,GA
2771,3.81,ga1-13,GA
2772,3.25,ga1-13,GA
2773,6.16,ga1-13,GA
2774,4.08,ga1-13,GA
2775,4.98,ga1-13,GA
2776,4.89,ga1-13,GA
2777,3.88,ga1-13,GA
2778,3.15,ga1-13,GA
2779,2.93,ga1-13,GA
2780,4.51,ga1-13,GA
2781,4.58,ga1-13,GA
2782,4.16,ga1-13,GA
2783,3.52,ga1-13,GA
2784,5.04,ga1-13,GA
2785,4.38,ga1-13,GA
2786,3.9,ga1-13,GA
2787,4.91,ga1-13,GA
2788,1.95,ga1-13,GA
2789,3.81,ga1-13,GA
2790,3.43,ga1-13,GA
2791,4.95,ga1-13,GA
2792,4.26,ga1-13,GA
2793,3.55,ga1-13,GA
2794,4.58,ga1-13,GA
2795,3.12,ga1-13,GA
2796,3.53,ga1-13,GA
2797,4.33,ga1-13,GA
2798,3.4,ga1-13,GA
2799,4.05,ga1-13,GA
2800,3.18,ga1-13,GA
2801,5.07,ga1-13,GA
2802,5.65,ga1-13,GA
2803,3.77,ga1-13,GA
2804,4.31,ga1-13,GA
2805,2.86,ga1-13,GA
2806,2.15,ga1-13,GA
2807,5.5,ga1-13,GA
2808,2.21,ga1-13,GA
2809,4.31,ga1-13,GA
2810,3.54,ga1-13,GA
2811,3.39,ga1-13,GA
2812,3.16,ga1-13,GA
2813,5.57,ga1-13,GA
2814,4.13,ga1-13,GA
2815,3.49,ga1-13,GA
2816,4.4,ga1-13,GA
2817,5.13,ga1-13,GA
2818,6.01,ga1-13,GA
2819,2.17,ga1-13,GA
2820,3.61,ga1-13,GA
2821,4.35,ga1-13,GA
2822,5.35,ga1-13,GA
2823,4.35,ga1-13,GA
2824,4.03,ga1-13,GA
2825,6.63,ga1-13,GA
2826,3.01,ga1-13,GA
2827,3.85,ga1-13,GA
2828,6.18,ga1-13,GA
2829,1.89,ga1-13,GA
2830,3.63,ga1-13,GA
2831,4.31,ga1-13,GA
2832,4.21,ga1-13,GA
2833,2.63,ga1-13,GA
2834,2.28,ga1-13,GA
2835,4.44,ga1-13,GA
2836,4.54,ga1-13,GA
2837,2.26,ga1-13,GA
2838,4.46,ga1-13,GA
2839,4.67,ga1-13,GA
2840,5.55,ga1-13,GA
2841,4.24,ga1-13,GA
2842,5.77,ga1-13,GA
2843,4.49,ga1-13,GA
2844,4.97,ga1-13,GA
2845,4.08,ga1-13,GA
2846,5.86,ga1-13,GA
2847,3.75,ga1-13,GA
2848,2.37,ga1-13,GA
2849,5.07,ga1-13,GA
2850,4.07,ga1-13,GA
2851,2.41,ga1-13,GA
2852,5.06,ga1-13,GA
2853,2.53,ga1-13,GA
2854,2.75,ga1-13,GA
2855,5.14,ga1-13,GA
2856,3.93,ga1-13,GA
2857,3.16,ga1-13,GA
2858,3.9,ga1-13,GA
2859,3.23,ga1-13,GA
2860,4.37,ga1-13,GA
2861,2.26,ga1-13,GA
2862,5.27,ga1-13,GA
2863,4.2,ga1-13,GA
2864,5.84,ga1-13,GA
2865,2.46,ga1-13,GA
2866,4.87,ga1-13,GA
2867,4.12,ga1-13,GA
2868,3.71,ga1-13,GA
2869,5.38,ga1-13,GA
2870,4.64,ga1-13,GA
2871,4.74,ga1-13,GA
2872,3.79,ga1-13,GA
2873,4.01,ga1-13,GA
2874,4.93,ga1-13,GA
2875,5.03,ga1-13,GA
2876,3.22,ga1-13,GA
2877,4.81,ga1-13,GA
2878,5.65,ga1-13,GA
2879,3.95,ga1-13,GA
2880,5.9,ga1-13,GA
2881,4.89,ga1-13,GA
2882,3.68,ga1-13,GA
2883,4.55,ga1-13,GA
2884,3.37,ga1-13,GA
2885,4.02,ga1-13,GA
2886,3.71,ga1-13,GA
2887,3.11,ga1-13,GA
2888,3.89,ga1-13,GA
2889,3.34,ga1-13,GA
2890,4.28,ga1-13,GA
2891,3.62,ga1-13,GA
2892,5.34,ga1-13,GA
2893,4.19,ga1-13,GA
2894,3.56,ga1-13,GA
2895,3.7,ga1-13,GA
2896,4.37,ga1-13,GA
2897,4.01,ga1-13,GA
2898,4.55,ga1-13,GA
2899,3.78,ga1-13,GA
2900,3.31,ga1-13,GA
2901,3.85,ga1-13,GA
2902,3.26,ga1-13,GA
2903,4.62,ga1-13,GA
2904,4.16,ga1-13,GA
2905,4.62,ga1-13,GA
2906,2.99,ga1-13,GA
2907,3.63,ga1-13,GA
2908,3.54,ga1-13,GA
2909,3.67,ga1-13,GA
2910,4.06,ga1-13,GA
2911,5.32,ga1-13,GA
2912,4.05,ga1-13,GA
2913,1.95,ga1-13,GA
2914,4.14,ga1-13,GA
2915,3.76,ga1-13,GA
2916,3.63,ga1-13,GA
2917,3.07,ga1-13,GA
2918,2.56,ga1-13,GA
2919,5.3,ga1-13,GA
2920,1.9,ga1-13,GA
2921,4.16,ga1-13,GA
2922,3.19,ga1-13,GA
2923,1.8,ga1-13,GA
2924,3.94,ga1-13,GA
2925,3.18,ga1-13,GA
2926,3.46,ga1-13,GA
2927,3.93,ga1-13,GA
2928,5.14,ga1-13,GA
2929,2.94,ga1-13,GA
2930,5.45,ga1-13,GA
2931,4.53,ga1-13,GA
2932,4.28,ga1-13,GA
2933,1.4,ga1-13,GA
2934,2.51,ga1-13,GA
2935,3.82,ga1-13,GA
2936,4.83,ga1-13,GA
2937,1.76,ga1-13,GA
2938,2.99,ga1-13,GA
2939,4.72,ga1-13,GA
2940,5.57,ga1-13,GA
2941,3.56,ga1-13,GA
2942,5.04,ga1-13,GA
2943,3.12,ga1-13,GA
2944,4.16,ga1-13,GA
2945,3.86,ga1-13,GA
2946,3.72,ga1-13,GA
2947,5.83,ga1-13,GA
2948,3.13,ga1-13,GA
2949,4.17,ga1-13,GA
2950,5,ga1-13,GA
2951,4.01,ga1-13,GA
2952,3.71,ga1-13,GA
2953,4.55,ga1-13,GA
2954,5.09,ga1-13,GA
2955,4.08,ga1-13,GA
2956,2.93,ga1-13,GA
2957,2.5,ga1-13,GA
2958,4.33,ga1-13,GA
2959,3.85,ga1-13,GA
2960,2.38,ga1-13,GA
2961,5.55,ga1-13,GA
2962,4.57,ga1-13,GA
2963,3.62,ga1-13,GA
2964,4.87,ga1-13,GA
2965,4.2,ga1-13,GA
2966,3.34,ga1-13,GA
2967,3.55,ga1-13,GA
2968,4.13,ga1-13,GA
2969,3.53,ga1-13,GA
2970,4.63,ga1-13,GA
2971,3.48,ga1-13,GA
2972,4.58,ga1-13,GA
2973,5.65,ga1-13,GA
2974,5.12,ga1-13,GA
2975,3.63,ga1-13,GA
2976,4.27,ga1-13,GA
2977,4.23,ga1-13,GA
2978,4.63,ga1-13,GA
2979,4.61,ga1-13,GA
2980,3.76,ga1-13,GA
2981,4.02,ga1-13,GA
2982,4.5,ga1-13,GA
2983,2.78,ga1-13,GA
2984,3.48,ga1-13,GA
2985,4.12,ga1-13,GA
2986,3.01,ga1-13,GA
2987,4.46,ga1-13,GA
2988,2.12,ga1-13,GA
2989,4.72,ga1-13,GA
2990,5.29,ga1-13,GA
2991,5.51,ga1-13,GA
2992,3.21,ga1-13,GA
2993,4,ga1-13,GA
2994,4.55,ga1-13,GA
2995,3.67,ga1-13,GA
2996,3.89,ga1-13,GA
2997,2.96,ga1-13,GA
2998,4.1,ga1-13,GA
2999,4.5,ga1-13,GA
3000,4.18,ga1-13,GA
