ID,SL_C21h0_1,SL_C21h0_2,SL_C21h0_3,SL_T21h2_1,SL_T21h2_2,SL_T21h2_3,SL_GAT21h2_1,SL_GAT21h2_2,SL_GAT21h2_3,SL_GAT21h4_1,SL_GAT21h4_2,SL_GAT21h4_3
Gene210,7.494790629,7.442746629,7.537584423,7.65503167,7.598121967,7.432850073,7.412614091,7.50689293,7.215544192,7.028836476,6.932833698,6.767203487
Gene211,7.497392647,7.264815357,7.47571391,8.169858691,7.835709747,7.84151018,7.630380567,8.096869036,7.659936471,7.053353166,6.930900048,6.935101365
Gene212,7.506215899,7.302747337,7.44275416,7.557809442,7.528439324,7.401508274,7.56158655,7.450968026,7.529272685,7.551007635,7.497104433,7.494119261
Gene213,7.509802622,7.636453546,7.617204215,7.578013469,7.526277962,7.65867385,7.224517553,7.439749859,7.226839821,6.910881298,6.833090162,6.838382073
Gene214,7.516875063,7.467037744,7.625998223,6.84182548,6.825239748,6.819021567,6.764946838,6.828387091,6.694385182,7.239528913,7.298282321,7.227289848
Gene215,7.522250807,7.684346245,7.749613643,7.551076643,7.268942741,7.030447297,6.929043387,7.180543624,6.990627584,7.005665237,6.704325419,6.856289628
Gene216,7.526061125,7.505499262,7.632948514,7.960327446,7.622381548,7.788321756,7.636093228,7.873148019,7.604430053,6.840976231,6.736361753,6.928086671
Gene217,7.546296742,7.52121155,7.583496018,7.395644047,7.611304563,7.513494105,7.460487679,7.656508785,7.54478404,7.454665826,7.60300344,7.617136839
Gene218,7.547028452,7.758382957,7.515012327,7.726047474,7.94988929,7.648177468,8.008607053,8.002927949,7.980937381,7.454416921,7.40409613,7.56209692
Gene219,7.55440163,7.734648582,7.695417679,7.881531679,7.878993942,7.880979675,7.880426469,7.794229747,8.10806935,7.906884659,7.754288743,7.769444192
Gene220,7.568923422,7.604785476,7.345282947,7.242970763,7.500098073,7.436203891,7.569763093,7.363185081,7.832675012,7.322807698,7.49580917,7.311519705
Gene221,7.574547552,7.613043651,7.794843421,7.611151398,7.547815786,7.534394443,7.710608142,7.67127761,7.823554626,7.833079279,7.915115466,7.774714831
Gene222,7.582343061,7.70855015,7.818298444,7.704527559,7.810435886,7.608496692,7.616227618,7.640959246,7.840047713,7.713384431,7.722803609,7.684763009
Gene223,7.582479617,7.484557397,7.471708819,7.603532523,7.846847224,7.703488026,7.824506887,7.707539687,7.860052494,7.535828948,7.827366194,7.555381869
Gene224,7.611559876,7.650317592,7.54300308,7.849089538,7.985209935,7.842638509,7.776014991,7.873729854,7.764722494,7.505238158,7.650260568,7.696948096
Gene225,7.614152468,7.70080763,7.773597725,7.72083276,7.79243402,7.594672814,7.750837211,7.639306486,7.809978799,7.553969652,7.594786015,7.681504368
Gene226,7.615867428,7.816134562,7.845225002,7.806482226,7.90264244,7.975546372,7.922350732,7.853778766,8.829014363,7.857906169,7.79236164,7.897985868
Gene227,7.626347328,7.595875877,7.426937623,7.731942367,7.693520892,7.730975064,7.644692776,7.701660984,7.753760315,7.636951898,7.588284993,7.648297848
Gene228,7.6318516,7.658647684,7.442966732,7.38752427,7.412858263,7.435421535,7.504133025,7.557024751,7.238725498,7.585317184,7.564441352,7.747970516
Gene229,7.637635375,7.687056987,7.674120214,7.583973621,7.684824285,7.64505314,7.746000962,7.51816222,8.574474254,7.288809896,7.481971523,7.266562772
Gene230,7.653900506,7.541228111,7.674065989,7.746454926,7.626920988,7.601613196,8.322012375,7.979698883,7.944730902,8.78194445,8.765964311,8.035650735
Gene231,7.674147373,7.764531186,7.834326273,7.773087024,7.772304745,7.804141492,7.626106581,7.504495165,8.503606005,7.76826026,7.724176576,7.577658822
Gene232,7.682378401,7.696706635,7.781936609,7.640531712,7.673511019,7.767774822,7.804312896,7.841726411,7.762172257,7.654630717,7.799091075,7.806473003
Gene233,7.701068746,7.624291825,7.685138896,7.49493858,7.424415085,7.63495291,7.50259107,7.576497103,7.582356825,7.815865528,7.811395027,7.749286237
Gene234,7.702161857,7.780909674,7.887325762,8.478364774,7.998165861,8.0152425,7.970493732,7.987772471,7.935787452,7.618752387,7.475073859,7.540619351
Gene235,7.706985793,7.699664785,7.631394479,7.647944064,7.637756934,7.665565469,7.66598948,7.667239917,8.29101391,7.900271383,7.844413497,7.912074352
Gene236,7.714354196,7.711102284,7.649112132,7.550369155,7.961112726,7.807932089,7.8450498,7.864945431,8.501034309,8.231327127,8.234964543,8.149022781
Gene237,7.721244637,7.756615879,7.67572254,7.696992921,7.850610303,7.698967541,7.699869252,7.578697897,8.316075773,7.633226246,7.596394725,7.541598311
Gene238,7.733152826,7.797154062,7.618085652,7.56575805,7.74290327,7.731131902,7.547606944,7.422384292,8.478137442,7.750057935,7.767686483,7.599144635
